name,skin_pos,skin_neg,pos_percent,neg_percent
마녀공장 비피다 바이옴 앰플 토너 400ml ,87.0,30,0.7435897435897436,0.2564102564102564
메이크프렘 세이프 미 릴리프 에센스 토너 400ml,16.0,36,0.3076923076923077,0.6923076923076923
메이크프렘 인테카 수딩 토너 200ml,60.0,48,0.5555555555555556,0.4444444444444444
메이크프렘 인테카 진정 토너 200ml 기획 (+100ml 리필팩+인테카 크림 31ml),62.0,18,0.775,0.225
바버501 애프터 쉐이브 165ml 2종 택1,4.0,6,0.4,0.6
바이오더마 세비엄 로션 200ml,56.0,36,0.6086956521739131,0.391304347826087
바이오더마 하이드라비오 토너 250ml,63.0,24,0.7241379310344828,0.27586206896551724
바이오더마 하이드라비오 토너 500ml,72.0,36,0.6666666666666666,0.3333333333333333
바이오힐보 비타민 히알루로닉 앰플토너 150ml,14.0,6,0.7,0.3
바이오힐보 프로바이오덤 리페어 스킨소프너 150mL,36.0,12,0.75,0.25
브링그린 대나무히알루수분토너500mL_NEW,80.0,54,0.5970149253731343,0.40298507462686567
브링그린 티트리시카  수딩 토너 500ml 어워즈 한정기획(+크림20ml+징크테카세럼 7ml),27.0,12,0.6923076923076923,0.3076923076923077
브링그린 티트리시카수딩토너 250mL_NEW,30.0,12,0.7142857142857143,0.2857142857142857
비욘드 엔젤아쿠아 보습장벽 토너 500ml,28.0,24,0.5384615384615384,0.46153846153846156
성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml,86.0,18,0.8269230769230769,0.17307692307692307
성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml+100ml 기획,120.0,78,0.6060606060606061,0.3939393939393939
셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml,138.0,66,0.6764705882352942,0.3235294117647059
셀퓨전씨 약산성 패리어 토너 300ml,48.0,30,0.6153846153846154,0.38461538461538464
셀퓨전씨 트리악 pH 컨디션 토너 200ml,78.0,66,0.5416666666666666,0.4583333333333333
식물나라 위치하젤 모공 토너 500ml,106.0,60,0.6385542168674698,0.3614457831325301
식물나라 카렌둘라 진정 토너 500ml (AD),56.0,6,0.9032258064516129,0.0967741935483871
싸이닉 더 심플 카밍 토너 145ml,75.0,18,0.8064516129032258,0.1935483870967742
싸이닉 더 심플 카밍 토너 더블 기획 (300ml+300ml),50.0,66,0.43103448275862066,0.5689655172413793
아벤느 젠틀 토닝 로션 (본품200ml+100ml 추가 증정) ,72.0,6,0.9230769230769231,0.07692307692307693
아벤느 젠틀 토닝 로션 200ml 듀오 기획,92.0,6,0.9387755102040817,0.061224489795918366
아벤느 클리낭스 매트 매티파잉 토너 200ml,105.0,6,0.9459459459459459,0.05405405405405406
아비브 어성초 카밍 토너 스킨부스터 200ml,72.0,30,0.7058823529411765,0.29411764705882354
아비브 어성초 카밍 토너 스킨부스터 250ml 기획(+250ml 리필증정),50.0,54,0.4807692307692308,0.5192307692307693
아비브 어성초 카밍 토너 스킨부스터 500ml+화장솜 30매 증정 기획,141.0,73,0.6588785046728972,0.3411214953271028
아이디얼 포맨 퍼펙트 스킨 150ml,112.0,72,0.6086956521739131,0.391304347826087
아이디얼포맨 프레시 애프터쉐이브 수딩토너 260ml,123.0,48,0.7192982456140351,0.2807017543859649
아이소이 내피부 속에 마르지 않는 옹달샘 촉촉스킨 130ml ,84.0,18,0.8235294117647058,0.17647058823529413
아이소이 모이스춰닥터 장수진 수분토너 130ml,45.0,30,0.6,0.4
아크네스 포맨 퍼펙트 스킨 200ml,120.0,78,0.6060606060606061,0.3939393939393939
에스트라 에이시카365 수분진정결토너 250ml,30.0,24,0.5555555555555556,0.4444444444444444
에스트라 에이시카365 수분진정결토너 250ml 기획(+토너 50ml 증정),78.0,36,0.6842105263157895,0.3157894736842105
에스트라 테라크네365 하이드로 액티브 토너 200ml,39.0,36,0.52,0.48
원씽 나이아신아마이드 10%,66.0,12,0.8461538461538461,0.15384615384615385
원씽 인진쑥 추출물 토너 150ml,112.0,30,0.7887323943661971,0.2112676056338028
유리아쥬 제모스 토너 (본품500ml+250ml 추가 증정),33.0,12,0.7333333333333333,0.26666666666666666
유리아쥬 제모스 토너 250ml,70.0,48,0.5932203389830508,0.4067796610169492
유리아쥬 제모스 토너 500ml,64.0,18,0.7804878048780488,0.21951219512195122
이즈앤트리 히아루론산 토너 200ml,44.0,48,0.4782608695652174,0.5217391304347826
이즈앤트리 히아루론산 토너 더블 기획 (400ml+400ml),27.0,30,0.47368421052631576,0.5263157894736842
코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,62.0,30,0.6739130434782609,0.32608695652173914
코스알엑스 풀핏 프로폴리스 시너지 토너 280ml 더블기획,38.0,6,0.8636363636363636,0.13636363636363635
코스알엑스 퓨어핏 시카 토너 150ml,57.0,48,0.5428571428571428,0.45714285714285713
크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2 200ml,126.0,54,0.7,0.3
크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2/3 200ml,50.0,30,0.625,0.375
크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 3 200ml,26.0,12,0.6842105263157895,0.3157894736842105
클럽맨리저브 위스키우즈 에프터쉐이브 177ml,112.0,72,0.6086956521739131,0.391304347826087
클럽맨피노드 머스크 에프터쉐이브코롱 177ml,32.0,24,0.5714285714285714,0.42857142857142855
클럽맨피노드 오리지날 에프터쉐이브로션 177ml,42.0,18,0.7,0.3
트러블레스 마일드 클리어 토너 에센스 200ml,32.0,6,0.8421052631578947,0.15789473684210525
파티온 노스카나인 트러블 클리어 토너 200ml,105.0,48,0.6862745098039216,0.3137254901960784
폴라초이스 스킨 퍼펙팅 바하 리퀴드 각질제거제 더블 기획 (118ml+118ml),34.0,30,0.53125,0.46875
플리프 시카-알로에 프레쉬 스킨 200ml 기획세트 (+50ml 증정),57.0,18,0.76,0.24
피지오겔 DMT 에센스 인 토너 200ml,45.0,30,0.6,0.4
피지오겔 레드수딩 시카밸런스 토너 200ml,48.0,36,0.5714285714285714,0.42857142857142855
피캄 베리어 사이클 락토P 토너 200ml,39.0,30,0.5652173913043478,0.43478260869565216
피캄 베리어 사이클 락토P 토너200ml 기획(+화장솜 증정),54.0,6,0.9,0.1
하다라보 고쿠쥰 로션170ml,38.0,6,0.8636363636363636,0.13636363636363635
헤이네이처 어성초 스킨 토너 150ml 기획(+카밍 토너패드 5매),58.0,36,0.6170212765957447,0.3829787234042553
